Time resolution is 1 ps
Time =                74000, clk = 0, sw = 1, data = 0010
Time =                75000, clk = 1, sw = 1, data = 0010
Time =                75000, clk = 0, sw = 1, data = 0010
Time =                76000, clk = 1, sw = 1, data = 0010
Time =                76000, clk = 0, sw = 1, data = 0010
Time =                77000, clk = 1, sw = 1, data = 0010
Time =                77000, clk = 0, sw = 1, data = 0010
Time =                78000, clk = 1, sw = 1, data = 0010
Time =                79000, clk = 0, sw = 1, data = 0010
Time =                79000, clk = 1, sw = 1, data = 0010
Time =                80000, clk = 0, sw = 1, data = 0010
Time =                80000, clk = 1, sw = 1, data = 0010
Time =                81000, clk = 0, sw = 1, data = 0010
Time =                82000, clk = 1, sw = 1, data = 0010
Time =                82000, clk = 0, sw = 1, data = 0010
Time =                83000, clk = 1, sw = 1, data = 0010
Time =                83000, clk = 0, sw = 1, data = 0010
Time =                84000, clk = 1, sw = 1, data = 0010
Time =                85000, clk = 0, sw = 1, data = 0010
Time =                85000, clk = 1, sw = 1, data = 0010
Time =                86000, clk = 0, sw = 1, data = 0010
Time =                86000, clk = 1, sw = 1, data = 0010
Time =                87000, clk = 0, sw = 1, data = 0010
Time =                87000, clk = 1, sw = 1, data = 0010
Time =                88000, clk = 0, sw = 1, data = 0010
Time =                89000, clk = 1, sw = 1, data = 0010
Time =                89000, clk = 0, sw = 1, data = 0010
Time =                90000, clk = 1, sw = 1, data = 0001
Time =                90000, clk = 0, sw = 1, data = 0001
Time =                91000, clk = 1, sw = 1, data = 0001
Time =                92000, clk = 0, sw = 1, data = 0001
Time =                92000, clk = 1, sw = 1, data = 0001
Time =                93000, clk = 0, sw = 1, data = 0001
Time =                93000, clk = 1, sw = 1, data = 0001
Time =                94000, clk = 0, sw = 1, data = 0001
Time =                95000, clk = 1, sw = 1, data = 0001
Time =                95000, clk = 0, sw = 1, data = 0001
Time =                96000, clk = 1, sw = 1, data = 0001
Time =                96000, clk = 0, sw = 1, data = 0001
Time =                97000, clk = 1, sw = 1, data = 0001
Time =                97000, clk = 0, sw = 1, data = 0001
Time =                98000, clk = 1, sw = 1, data = 0001
Time =                99000, clk = 0, sw = 1, data = 0001
Time =                99000, clk = 1, sw = 1, data = 0001
Time =               100000, clk = 0, sw = 1, data = 0001
Time =               100000, clk = 1, sw = 1, data = 0001
Time =               101000, clk = 0, sw = 1, data = 0001
Time =               102000, clk = 1, sw = 1, data = 0001
Time =               102000, clk = 0, sw = 1, data = 0001
Time =               103000, clk = 1, sw = 1, data = 0001
Time =               103000, clk = 0, sw = 1, data = 0001
Time =               104000, clk = 1, sw = 1, data = 0001
Time =               104000, clk = 0, sw = 1, data = 0001
Time =               105000, clk = 1, sw = 1, data = 0001
Time =               106000, clk = 0, sw = 1, data = 0001
Time =               106000, clk = 1, sw = 1, data = 0001
Time =               107000, clk = 0, sw = 1, data = 0001
Time =               107000, clk = 1, sw = 1, data = 0001
